year,region,attack_type,target_type,weapon_type,incidents,killed,wounded,success_rate
1971,Middle East & North Africa,Bombing/Explosion,Journalists & Media,Explosives,1,0,0,1.0
1971,Middle East & North Africa,Bombing/Explosion,Maritime,Explosives,1,0,0,1.0
1971,Middle East & North Africa,Bombing/Explosion,Military,Explosives,13,0,0,1.0
1971,Middle East & North Africa,Bombing/Explosion,Private Citizens & Property,Explosives,2,0,0,1.0
1971,Middle East & North Africa,Bombing/Explosion,Tourists,Explosives,1,1,11,1.0
1971,Middle East & North Africa,Bombing/Explosion,Utilities,Explosives,1,0,0,1.0
1971,Middle East & North Africa,Facility/Infrastructure Attack,Government (Diplomatic),Incendiary,1,0,0,1.0
1971,Middle East & North Africa,Hijacking,Airports & Aircraft,Unknown,2,0,0,0.5
1971,Middle East & North Africa,Hostage Taking (Kidnapping),Business,Unknown,1,0,0,0.0
1971,Middle East & North Africa,Hostage Taking (Kidnapping),Government (Diplomatic),Unknown,1,1,0,1.0
1971,Middle East & North Africa,Hostage Taking (Kidnapping),Government (General),Unknown,1,0,0,0.0
1971,Middle East & North Africa,Hostage Taking (Kidnapping),Military,Unknown,2,0,0,1.0
1971,Middle East & North Africa,Unknown,Military,Unknown,1,3,0,1.0
1971,Middle East & North Africa,Unknown,Transportation,Unknown,1,0,0,1.0
1971,North America,Armed Assault,Business,Firearms,5,2,0,1.0
1971,North America,Armed Assault,Educational Institution,Firearms,1,0,0,1.0
1971,North America,Armed Assault,Government (Diplomatic),Firearms,1,0,0,1.0
1971,North America,Armed Assault,Government (Diplomatic),Incendiary,1,0,0,1.0
1971,North America,Armed Assault,Police,Firearms,10,6,12,0.7
1971,North America,Armed Assault,Police,Melee,1,1,1,1.0
1971,North America,Armed Assault,Utilities,Firearms,2,0,1,1.0
1971,North America,Assassination,Military,Melee,1,1,0,1.0
1971,North America,Assassination,Police,Firearms,2,3,0,1.0
1971,North America,Assassination,Violent Political Party,Firearms,1,1,0,1.0
1971,North America,Bombing/Explosion,Business,Explosives,57,3,0,0.9473684210526315
1971,North America,Bombing/Explosion,Educational Institution,Explosives,15,0,0,0.7333333333333333
1971,North America,Bombing/Explosion,Government (Diplomatic),Explosives,6,0,0,0.8333333333333334
1971,North America,Bombing/Explosion,Government (General),Explosives,22,1,0,0.7272727272727273
1971,North America,Bombing/Explosion,Journalists & Media,Explosives,4,0,0,1.0
1971,North America,Bombing/Explosion,Military,Explosives,17,1,13,0.8235294117647058
1971,North America,Bombing/Explosion,Police,Explosives,7,0,0,0.7142857142857143
1971,North America,Bombing/Explosion,Private Citizens & Property,Explosives,5,0,0,0.8
1971,North America,Bombing/Explosion,Telecommunication,Explosives,1,0,0,1.0
1971,North America,Bombing/Explosion,Tourists,Explosives,2,0,0,1.0
1971,North America,Bombing/Explosion,Transportation,Explosives,1,0,0,1.0
1971,North America,Bombing/Explosion,Utilities,Explosives,5,0,0,1.0
1971,North America,Bombing/Explosion,Violent Political Party,Explosives,1,0,0,1.0
1971,North America,Facility/Infrastructure Attack,Business,Incendiary,27,0,0,0.8888888888888888
1971,North America,Facility/Infrastructure Attack,Educational Institution,Incendiary,14,0,27,0.9285714285714286
1971,North America,Facility/Infrastructure Attack,Government (Diplomatic),Incendiary,3,0,0,0.6666666666666666
1971,North America,Facility/Infrastructure Attack,Government (General),Incendiary,9,0,0,0.8888888888888888
1971,North America,Facility/Infrastructure Attack,Journalists & Media,Incendiary,1,0,0,0.0
1971,North America,Facility/Infrastructure Attack,Military,Chemical,1,0,0,1.0
1971,North America,Facility/Infrastructure Attack,Military,Incendiary,13,0,0,0.9230769230769231
1971,North America,Facility/Infrastructure Attack,NGO,Incendiary,1,0,0,1.0
1971,North America,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,2,0,0,1.0
1971,North America,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4,0,0,0.75
1971,North America,Hijacking,Airports & Aircraft,Explosives,1,0,0,0.0
1971,North America,Hostage Taking (Barricade Incident),Business,Firearms,1,0,0,1.0
1971,North America,Hostage Taking (Kidnapping),Private Citizens & Property,Firearms,1,0,1,1.0
