year,region,incidents,killed,wounded,success_rate
1998,Central America & Caribbean,1,0,0,1.0
1998,Central Asia,25,61,51,0.92
1998,East Asia,9,50,166,1.0
1998,Eastern Europe,105,109,164,0.8761904761904762
1998,Middle East & North Africa,247,1079,1291,0.9473684210526315
1998,North America,37,8,8,0.7567567567567568
1998,South America,108,599,191,0.9537037037037037
1998,South Asia,136,1237,1450,0.9705882352941176
1998,Southeast Asia,32,54,137,0.875
1998,Sub-Saharan Africa,87,1437,4440,0.9885057471264368
1998,Western Europe,141,54,283,0.8297872340425532
1999,Australasia & Oceania,4,2,0,1.0
1999,Central America & Caribbean,8,6,3,0.75
1999,Central Asia,24,35,167,1.0
1999,East Asia,4,5,50,1.0
1999,Eastern Europe,138,440,979,0.8405797101449275
1999,Middle East & North Africa,316,672,877,0.9240506329113924
1999,North America,56,20,44,0.6607142857142857
1999,South America,134,293,250,0.9253731343283582
1999,South Asia,225,900,1656,0.9111111111111111
1999,Southeast Asia,107,123,305,0.9158878504672897
1999,Sub-Saharan Africa,143,885,789,0.958041958041958
1999,Western Europe,236,12,221,0.8050847457627118
2000,Australasia & Oceania,6,7,17,0.6666666666666666
2000,Central America & Caribbean,14,11,28,0.9285714285714286
2000,Central Asia,21,18,89,0.9523809523809523
2000,East Asia,19,1,19,0.3157894736842105
2000,Eastern Europe,234,402,710,0.8461538461538461
2000,Middle East & North Africa,272,624,586,0.9301470588235294
2000,North America,41,5,40,0.8536585365853658
2000,South America,150,430,191,0.9466666666666667
2000,South Asia,357,1378,2364,0.9523809523809523
2000,Southeast Asia,256,459,1054,0.89453125
2000,Sub-Saharan Africa,191,1026,616,0.9738219895287958
2000,Western Europe,253,42,155,0.83399209486166
2001,Australasia & Oceania,4,0,0,0.5
2001,Central America & Caribbean,8,2,3,0.625
2001,Central Asia,18,16,27,0.9444444444444444
2001,East Asia,19,9,57,0.8421052631578947
2001,Eastern Europe,252,294,558,0.8412698412698413
2001,Middle East & North Africa,362,907,1424,0.9171270718232044
2001,North America,48,3021,16520,0.8125
2001,South America,229,593,446,0.925764192139738
2001,South Asia,385,1367,2288,0.9402597402597402
2001,Southeast Asia,185,311,538,0.8756756756756757
2001,Sub-Saharan Africa,162,1169,654,0.9135802469135802
2001,Western Europe,234,40,259,0.7777777777777778
2002,Australasia & Oceania,2,1,0,1.0
2002,Central America & Caribbean,3,0,1,0.6666666666666666
2002,Central Asia,6,3,18,0.8333333333333334
2002,East Asia,4,1,18,0.75
2002,Eastern Europe,112,518,464,0.9196428571428571
2002,Middle East & North Africa,326,1175,2157,0.9171779141104295
2002,North America,33,4,11,0.6363636363636364
2002,South America,162,369,690,0.9506172839506173
2002,South Asia,334,1288,2415,0.9041916167664671
2002,Southeast Asia,110,396,956,0.9545454545454546
2002,Sub-Saharan Africa,121,1041,338,0.9669421487603306
2002,Western Europe,120,9,94,0.8333333333333334
2003,Australasia & Oceania,4,1,0,0.25
2003,Central America & Caribbean,8,5,6,0.75
2003,Central Asia,7,1,1,1.0
2003,East Asia,6,1,76,1.0
2003,Eastern Europe,100,337,822,0.81
2003,Middle East & North Africa,310,1063,3252,0.9064516129032258
2003,North America,34,2,1,0.8235294117647058
2003,South America,117,191,575,0.9401709401709402
2003,South Asia,353,802,1604,0.9405099150141643
2003,Southeast Asia,145,354,759,0.9310344827586207
2003,Sub-Saharan Africa,73,555,158,1.0
2003,Western Europe,121,5,130,0.7355371900826446
2004,Central America & Caribbean,5,38,44,1.0
2004,Central Asia,8,36,32,0.625
2004,East Asia,4,4,7,0.75
2004,Eastern Europe,46,608,1176,0.8043478260869565
2004,Middle East & North Africa,492,2558,5267,0.9552845528455285
2004,North America,12,0,3,0.75
2004,South America,42,89,218,0.9285714285714286
2004,South Asia,369,1616,2710,0.924119241192412
2004,Southeast Asia,95,281,551,0.9263157894736842
2004,Sub-Saharan Africa,34,317,161,0.9705882352941176
